x,y
1748573.742,5431169.964
1748581.237,5431161.006
1748585.358,5431157.385
1748590.064,5431154.156
1748595.282,5431151.363
1748601.762,5431148.72
1748609.33,5431146.536
1748618.521,5431144.952
1748623.956,5431144.254
1748637.354,5431142.85
1748646.406,5431142.753
1748660.183,5431144.862
1748666.457,5431147.048
1748672.812,5431150.01
1748679.287,5431153.853
1748685.667,5431158.762
1748691.041,5431164.133
1748695.076,5431169.689
1748699.979,5431178.276
1748711.44,5431199.497
1748713.292,5431202.493
1748717.441,5431207.525
1748720.596,5431210.487
1748735.806,5431222.725
1748740.225,5431225.512
1748746.836,5431228.512
1748750.897,5431230.332
1748761.143,5431238.431
1748763.822,5431242.042
1748765.259,5431244.011
1748767.517,5431246.812
1748770.858,5431250.087
1748775.333,5431253.686
1748779.519,5431256.443
1748781.734,5431257.635
1748783.097,5431258.282
1748788.343,5431260.764
1748815.233,5431272.889
1748823.818,5431276.322
1748829.616,5431277.653
1748835.059,5431278.006
1748842.361,5431277.353
1748849.888,5431276.374
1748856.091,5431275.768
1748865.429,5431275.885
1748879.752,5431277.255
1748897.632,5431278.808
1748916.207,5431280.582
1748929.914,5431280.682
1748935.937,5431280.093
1748942.93,5431278.475
1748948.452,5431276.145
1748955.473,5431272.306
1748960.387,5431268.997
1748973.292,5431261.247
1748979.515,5431257.796
1748992.288,5431250.343
1749021.15,5431238.103
1749042.822,5431229.12
1749052.551,5431223.531
1749058.849,5431217.99
1749063.814,5431211.191
1749066.57,5431205.097
1749068.228,5431197.983
1749066.529,5431182.391
1749064.077,5431165.138
1749063.994,5431154.371
1749065.123,5431148.417
1749067.086,5431142.453
1749071.502,5431134.145
1749076.411,5431128.026
1749081.042,5431123.786
1749087.471,5431119.48
1749094.386,5431116.383
1749103.228,5431114.286
1749120.633,5431112.226
1749149.882,5431109.066
1749153.703,5431108.511
1749157.481,5431107.711
1749163.033,5431106.062
1749168.401,5431103.888
1749173.846,5431101.046
1749177.822,5431098.496
1749181.619,5431095.688
1749186.071,5431091.85
1749192.941,5431083.858
1749198.588,5431074.938
1749208.447,5431056.963
1749210.792,5431053.77
1749213.453,5431050.835
1749217.443,5431047.377
1749221.869,5431044.496
1749226.648,5431042.249
1749232.979,5431040.392
1749239.535,5431039.644
1749247.426,5431040.238
1749253.795,5431041.959
1749259.777,5431044.743
1749266.956,5431050.019
1749287.597,5431066.191
1749304.194,5431079.159
1749312.614,5431085.578
1749318.197,5431089.71
1749322.212,5431092.206
1749326.308,5431094.568
1749336.132,5431099.326
1749350.157,5431104.672
1749355.346,5431106.276
1749364.183,5431108.351
1749377.076,5431110.364
1749389.892,5431111.215
1749402.799,5431110.616
1749411.824,5431109.609
1749421.01,5431107.991
1749437.848,5431103.436
1749454.503,5431098.93
1749477.089,5431092.373
1749499.191,5431086.633
1749507.201,5431084.214
1749520.834,5431080.191
1749527.832,5431079.21
1749533.198,5431079.074
1749544.253,5431079.381
1749555.615,5431079.944
1749578.947,5431081.653
1749605.189,5431083.54
1749610.818,5431083.855
1749616.368,5431083.902
1749625.346,5431083.131
1749636.746,5431080.93
1749647.595,5431077.046
1749655.645,5431073.304
1749665.55,5431067.456
1749670.959,5431063.697
1749680.904,5431054.405
1749693.495,5431042.224
1749707.893,5431027.676
1749719.29,5431016.531
1749738.431,5430997.441
1749763.97,5430972.26
1749783.572,5430952.402
1749804.3,5430932.032
1749820.166,5430916.422
1749838.847,5430897.588
1749859.268,5430876.706
1749877.249,5430858.949
1749899.906,5430836.478
1749906.303,5430829.876
1749908.657,5430825.858
1749909.502,5430823.095
1749910.062,5430821.293
1749910.116,5430819.896
1749909.771,5430818.066
